Date,At&t,Xom,BA,Wmt,Wix
3/4/2016,37.93,82.290001,121.07,66.779999,20.030001
3/7/2016,38.130001,84.459999,122.900002,67.889999,20.629999
3/8/2016,38.09,82.629997,122.349998,68.040001,19.59
3/9/2016,37.98,82.400002,122.860001,67.529999,19.98
3/10/2016,38.310001,82.18,122.940002,67.410004,20.18
3/11/2016,38.360001,82.190002,124.629997,67.169998,20.67
3/14/2016,38.32,82.410004,126.339996,67.360001,20.280001
3/15/2016,38.52,82.82,126.360001,68.089996,19.59
3/16/2016,38.77,82.870003,127.57,67.989998,20.16
3/17/2016,39.119999,84.099998,130.699997,67.449997,20.110001
3/18/2016,38.560001,84.199997,133.960007,66.949997,20
3/21/2016,38.919998,83.620003,135.860001,67.970001,19.879999
3/22/2016,38.630001,84.120003,135.119995,67.870003,19.58
3/23/2016,38.540001,83.75,132.860001,67.459999,19.59
3/24/2016,38.880001,83.980003,132.119995,68,19.700001
3/28/2016,39.07,84.220001,131.289993,68.120003,19.76
3/29/2016,39.450001,84.529999,130.880005,68.029999,20
3/30/2016,39.369999,84.519997,128.580002,68.800003,20.15
3/31/2016,39.169998,83.589996,126.940002,68.489998,20.27
4/1/2016,39.049999,82.959999,126.959999,69.059998,20.02
4/4/2016,39.360001,83.160004,126.339996,69.099998,20.799999
4/5/2016,39.189999,82.209999,127.029999,68.639999,20.52
4/6/2016,38.639999,83.309998,127.93,69.040001,21.24
4/7/2016,38.59,82.370003,127,68.220001,21.01
4/8/2016,38.5,83.209999,127.879997,68.059998,21.129999
4/11/2016,38.389999,83.32,127.910004,67.400002,20.93
4/12/2016,38.669998,84.349998,129.470001,68.800003,21.280001
4/13/2016,38.25,84.830002,131.139999,69.150002,21.4
4/14/2016,38.419998,85.43,130.850006,68.800003,22.34
4/15/2016,38.48,84.970001,131.130005,69.059998,22.620001
4/18/2016,38.650002,85.779999,131.970001,69.860001,22.9
4/19/2016,38.919998,86.209999,132.679993,69.769997,23.299999
4/20/2016,38.720001,86.800003,130.570007,69.209999,23.940001
4/21/2016,37.860001,86.790001,130.740005,68.470001,23.959999
4/22/2016,38.07,87.529999,131.050003,68.720001,24.34
4/25/2016,38.209999,87.330002,130.75,69.470001,24.4
4/26/2016,38.09,87.629997,133.240005,69.300003,24.18
4/27/2016,38.720001,88.459999,137.080002,69.419998,24.35
4/28/2016,38.639999,88.029999,134.800003,68.910004,24.68
4/29/2016,38.82,88.400002,134.800003,66.870003,24.719999
5/2/2016,39.099998,89.129997,134.009995,67.589996,24.860001
5/3/2016,38.91,88.110001,132.490005,67,24.41
5/4/2016,38.880001,87.940002,130.889999,67.190002,24.959999
5/5/2016,38.740002,88.040001,132.080002,67.209999,25.4
5/6/2016,38.990002,88.510002,133.259995,68.25,25.6
5/9/2016,38.860001,88.57,132.100006,68.949997,25.690001
5/10/2016,39.310001,89.989998,134.720001,68.790001,26.25
5/11/2016,39.18,88.809998,133,66.410004,26.51
5/12/2016,39.549999,89.669998,134.419998,66.849998,26.5
5/13/2016,39.150002,88.660004,132.119995,64.940002,26.42
5/16/2016,39.279999,89.57,134.139999,66.019997,25.889999
5/17/2016,39.110001,89.529999,132.559998,65.099998,25.35
5/18/2016,38.450001,89.349998,130.990005,63.150002,25.950001
5/19/2016,38.439999,90.110001,128.080002,69.199997,25.639999
5/20/2016,38.450001,89.739998,127.389999,69.860001,26.27
5/23/2016,38.32,89.599998,127.580002,69.5,25.629999
5/24/2016,38.5,89.669998,127.5,70.239998,25.879999
5/25/2016,38.619999,90.260002,128.860001,70.480003,26.16
5/26/2016,38.84,89.800003,129.309998,70.849998,26.24
5/27/2016,38.990002,90.010002,129.220001,70.75,26.82
5/31/2016,39.150002,89.019997,126.150002,70.779999,27.66
6/1/2016,38.73,89.239998,126.410004,70.5,27.23
6/2/2016,38.84,88.529999,126.849998,70.949997,27.52
6/3/2016,39.209999,88.370003,127.379997,70.870003,26.950001
6/6/2016,39.34,89.339996,131.899994,71.050003,27.030001
6/7/2016,39.790001,90.709999,131.929993,71.029999,27.5
6/8/2016,39.860001,90.790001,133,71.279999,27.950001
6/9/2016,40.09,90.669998,133.100006,71.089996,29.139999
6/10/2016,40.330002,89.980003,131.139999,71.139999,28.889999
6/13/2016,40.189999,90.589996,129.919998,70.529999,27.75
